"sampledate","depth","wtemp","do_raw","do_sat","chlor_rfu","phyco_rfu","ph","spec_cond","turbidity","fdom_rfu","flag_wtemp","flag_do_raw","flag_do_sat","flag_chlor_rfu","flag_phyco_rfu","flag_ph","flag_spec_cond","flag_turbidity","flag_fdom_rfu"
"2023-04-18",0.52,8.15,14.19,120.5,3.79,0.42,8.76,569.44,37.85,5.07,,,,,,,,,
"2023-04-19",0.51,7.22,13.25,109.9,4.34,0.48,8.73,571.84,21.3,8.12,,,,,,,,,
"2023-04-20",0.44,7.25,13.23,109.9,3.76,0.39,8.75,572.14,1.57,9.55,,,,,,,,,
"2023-04-21",0.47,7.2,12.63,104.8,2.68,0.22,8.68,573.32,1.5,9.61,,,,,,,,,
"2023-04-22",0.46,7.15,12.72,105.4,2.77,0.23,8.69,573.67,1.56,9.53,,,,,,,,,
"2023-04-23",0.52,6.83,12.78,105,3.03,0.28,8.7,575.37,1.52,9.71,,,,,,,,,
"2023-04-24",0.54,7.45,13.4,111.9,3.42,0.37,8.74,572.88,1.52,9.29,,,,,,,,,
"2023-04-25",0.55,7.55,13.08,109.5,3.33,0.38,8.71,573.1,1.48,9.41,,,,,,,,,
"2023-04-26",0.55,7.79,12.9,108.6,2.53,0.25,8.69,573.36,1.27,9.39,,,,,,,,,
"2023-04-27",0.46,7.71,12.8,107.5,2.16,0.22,8.67,573.98,1.28,9.48,,,,,,,,,
"2023-05-05",0.36,9.15,11.92,103.7,2.1,0.05,8.51,573.43,1.39,9.37,,,,,,,,,
"2023-05-06",0.36,8.83,11.34,97.9,2.4,0.06,8.47,574.63,1.33,9.56,,,,,,,,,
"2023-05-07",0.32,10.18,11.75,104.9,1.9,0.02,8.49,574.32,1.19,9.02,,,,,,,,,
"2023-05-08",0.36,11.3,12.45,113.9,3.03,0.11,8.56,568.9,1.33,9.03,,,,,,,,,
"2023-05-09",0.42,12.43,12.12,113.8,2.69,0.28,8.54,572.1,1.43,9,,,,,,,,,
"2023-05-10",0.42,12.17,12.11,113,1.67,0.1,8.53,572.93,1.27,9.13,,,,,,,,,
"2023-05-11",0.38,11.62,13.27,122.4,3.61,0.29,8.59,570,4.37,8.56,,,,,,,,,
"2023-05-12",0.38,14.99,12.9,127.9,2.17,0.15,8.6,572.36,27.53,6.51,,,,,,,,,
"2023-05-13",0.43,14.42,12.59,123.5,2.38,0.09,8.58,571.98,1.42,8.62,,,,,,,,,
"2023-05-14",0.49,13.8,11.85,114.7,1.93,0.08,8.57,572.4,1.44,9.07,,,,,,,,,
"2023-05-17",0.36,15.36,11.5,115.2,0.64,0.06,8.39,576.62,1.69,8.57,,,,,,,,,
"2023-05-18",0.34,12.57,10.07,94.8,0.41,-0.03,8.25,576.48,1.18,9.3,,,,,,,,,
"2023-05-19",0.35,13.45,11.15,107.4,0.3,-0.04,8.35,575.68,1.24,9.18,,,,,,,,,
"2023-05-20",0.41,15.21,12.07,120.8,0.25,0.07,8.46,575.1,2.03,8.89,,,,,,,,,
"2023-05-21",0.41,16.81,12.21,126.2,0.57,0.64,8.43,575.11,3.99,8.24,,,,,,,,,
"2023-05-22",0.4,19.07,14.16,153.8,1.55,2.88,8.53,572.85,21.1,8.13,,,,,,,,,
"2023-05-23",0.4,19.08,14.98,162.7,1.92,5.94,8.59,571.52,12.72,8.83,,,,,,,,,
"2023-05-24",0.43,19.52,13.86,151.4,2.02,3.8,8.61,573.49,23.31,7.58,,,,,,,,,
"2023-05-25",0.46,16.64,11.57,119.1,0.67,0.43,8.55,578.64,2.78,8.91,,,,,,,,,
"2023-05-26",0.46,17.07,12.17,126.5,0.9,0.65,8.61,577.71,3.82,8.67,,,,,,,,,
"2023-05-27",0.44,17.83,12.28,129.6,0.6,0.66,8.59,578.81,3.88,8.55,,,,,,,,,
"2023-05-28",0.4,19,12.02,130.1,0.54,1.09,8.59,578.18,6.47,8.7,,,,,,,,,
"2023-05-29",0.36,19.54,11.91,130.1,0.4,0.63,8.58,580.79,6.98,8.63,,,,,,,,,
"2023-05-30",0.35,19.5,12.14,132.6,0.4,0.25,8.58,579.65,5.49,8.58,,,,,,,,,
"2023-05-31",0.35,19.82,12.42,136.5,0.48,0.08,8.6,578.78,5.72,7.57,,,,,,,,,
"2023-06-01",0.38,20.81,12.08,135.3,0.73,0.33,8.62,580.28,16.47,8.31,,,,,,,,,
"2023-06-02",0.39,23.24,11.93,140.1,1.2,0.5,8.61,582.93,11.89,7.37,,,,,,,,,
"2023-06-03",0.39,25.27,11.53,140.5,2.75,0.95,8.6,584.64,14.52,5.47,,,,,,,,,
"2023-06-04",0.4,24.15,12.03,143.6,1.65,0.37,8.63,581.56,21.32,4.92,,,,,,,,,
"2023-06-05",0.41,23.35,10.99,129.2,1.71,0.57,8.6,579.8,24.2,5.02,,,,,,,,,
"2023-06-06",0.37,24.53,10.68,128.5,0.29,0.02,8.59,577.73,14.89,6.46,,,,,,,,,
"2023-06-07",0.36,23.58,10.6,125.2,0.47,0.02,8.6,582.36,2.24,6.62,,,,,,,,,
"2023-06-08",0.36,22.25,11.15,128.6,0.66,0.1,8.62,579.42,1.81,6.79,,,,,,,,,
"2023-06-09",0.36,22.71,11.69,135.9,0.8,0.1,8.67,578.53,1.4,6.71,,,,,,,,,
"2023-06-10",0.31,23.26,11.47,134.7,0.79,0.07,8.66,579.75,1.3,6.32,,,,,,,,,
